species_name,prey,kingdom,biggest_threat,estimated_population_size,predators,habitat,lifespan,most_distinctive_feature,average_lifespan
Coyote,Unknown,Animalia,Unknown,Unknown,"Human, Bears, Wolves","Forests, plains and deserts",10 - 15 years,Unknown,12 years
Little Brown Bat,Insects and spiders,Animalia,White-nose syndrome,Millions,"Owls, weasels, snakes, raccoons, fishers, hawks, and domesticated cats",Forests,6-7 years,"The large, impressive wings",6 years
Bald Eagle,"Fish, birds, and small mammals",Animalia,Pesticide use,Unknown,"Wolverines, bobcats, foxes, bears, raccoons, and birds",Near forests,15-20 years in the wild,The white plumage on the head,17 years
Common Loon,Unknown,Animalia,Unknown,Unknown,"Human, Eagles, Osprey",Freshwater lakes in cooler climates,15 - 25 years,Unknown,20 years
Great Blue Heron,Unknown,Animalia,Unknown,Unknown,"Bears and raccoons, crows and ravens, eagles",Marshes,Unknown,6-7 foot wingspan,Unknown
Bighorn Sheep,Unknown,Animalia,Man,"70,000","Mountain lions, wolves, bobcats, coyotes and golden eagles",Mountainous grasslands,10-15 years,Big horns,12 years
Peregrine Falcon,"Birds, mammals, insects",Animalia,Pesticide use,"140,000","Eagles, owls",Various,15 years,Dark head feathers and hooked beak,15 years
Long-Eared Owl,Unknown,Animalia,Unknown,Unknown,"Eagles, Harks, Foxes",Coniferous forests,40 - 60 years,Unknown,50 years
Ferret,Unknown,Animalia,Unknown,Unknown,Unknown,Forest and grasslands,7 - 10 years,Unknown,8 years
Badger,Unknown,Animalia,Unknown,Unknown,"Human, Eagle, Wildcats",Woodland and hedgerows,4 - 10 years,Unknown,7 years
Bat,Unknown,Animalia,Unknown,Unknown,"Owls, Eagles, Snakes",Woodland and caves,10 - 30 years,Unknown,20 years
Butterfly,Unknown,Animalia,Unknown,Unknown,Unknown,Quiet forests and pastures,Unknown,Unknown,Unknown
Sei Whale," Krill and other euphausiids, copepods, small fish and squid",Animalia,"Humans, climate change, pollution","80,000",Humans,Unknown,70 years plus,"Its tall, sickle-shaped dorsal fin",70 years plus
Fin Whale,Unknown,Animalia,Unknown,Unknown,"Human, Large Sharks",Deep offshore waters,50 - 60 years,Unknown,55 years
Humpback Whale,Unknown,Animalia,Accidents with boats and nets,"120,000 to 150,000","Human, Killer Whale",Oceans close to the shore,45 to 50 years,The small hump on the back,45 to 50 years
Sperm Whale,"Squid, sharks, skates, fish",Animalia,"Human activity, climate change","300,000 to 450,000","Sharks, Humans, Killer Whales",Ocean,Up to 60 years,Size and huge head,Unknown
Pileated Woodpecker,Ants and other insects,Animalia,"Cats, human activity",1.9 million,"Weasels, squirrels, rat snakes, gray foxes","Coniferous, mixed and hardwood forests",12 years,Bright red crest at top of head,12 years
